id_aux,anyo_proceso,fecha_nacimiento,rbd,cod_ens,regimen,rama_educacional,grupo_dependencia,anyo_egreso,codigo_region,codigo_provincia,codigo_comuna,codigo_region_d,codigo_comuna_d,situacion_egreso,bea,pace,pais_nacimiento,sexo,ingreso_percapita_grupo_fa
id_9032590673263,2025,2005-07-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_5895558079595,2025,2006-03-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,6
id_9391593579127,2025,2004-12-01,59.0,310.0,3.0,H1,1.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9002590870236,2025,2005-04-01,59.0,310.0,3.0,H1,1.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,2
id_9671596177184,2025,2005-09-01,59.0,310.0,3.0,H1,1.0,2023.0,15.0,151.0,15101.0,2,2101,5,No,No,210,2,8
id_9697596479779,2025,2005-10-01,59.0,310.0,3.0,H1,1.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,8
id_9242592174299,2025,2004-08-01,59.0,310.0,3.0,H1,1.0,2022.0,15.0,151.0,15101.0,13,13114,5,No,No,210,2,10
id_5862558876220,2025,2005-12-01,59.0,310.0,3.0,H1,1.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9612596271208,2025,2005-09-01,59.0,310.0,3.0,H1,1.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,10
id_5882558578288,2025,2006-01-01,59.0,310.0,3.0,H1,1.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,9
id_8526585972618,2025,1999-12-01,59.0,310.0,3.0,H1,1.0,2017.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,2
id_5991559979146,2025,2006-04-01,59.0,310.0,3.0,H1,1.0,2023.0,15.0,151.0,15101.0,5,5109,5,No,No,210,1,99
id_9165591076599,2025,2004-01-01,59.0,310.0,3.0,H1,1.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,8
id_5882558578252,2025,2006-01-01,59.0,310.0,3.0,H1,1.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,9
id_9308593770860,2025,2004-12-01,59.0,310.0,3.0,H1,1.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9967599576770,2025,2002-09-01,60.0,310.0,3.0,H1,2.0,2020.0,15.0,151.0,15101.0,13,13101,5,No,No,210,1,3
id_9792597379233,2025,2003-08-01,60.0,310.0,3.0,H1,2.0,2021.0,15.0,151.0,15101.0,3,3101,5,No,No,210,2,3
id_9306593370681,2025,2005-02-01,60.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_9090590679067,2025,2005-07-01,60.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,9,9111,5,No,No,210,2,1
id_9743597374397,2025,2003-08-01,60.0,310.0,3.0,H1,2.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,2
id_9030590073021,2025,2005-07-01,60.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,10
id_9399593679963,2025,2005-01-01,60.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,5
id_5808558270887,2025,2006-03-01,60.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,9
id_5943559174309,2025,2004-09-01,60.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,244,1,2
id_5944559774492,2025,2006-06-01,60.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,10
id_5813558171376,2025,2006-02-01,60.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,8,8101,5,No,No,210,2,99
